20250326	02:03:59	d3ef6e2c-db02-4f63-8742-2f3747c72e62	POST	undefined	/refresh
20250326	02:04:53	3bb6a313-c9c5-4792-8302-4c8177c91ed1	GET	undefined	/refresh
20250327	04:03:51	058c2af3-ff4d-481c-b58e-ccf65cc3b609	POST	undefined	/auth
20250327	04:05:15	789dcb87-08ab-4542-9c11-9b625baa1bfa	GET	undefined	/logout
20250327	04:06:21	99d2ddf2-d03a-4a9b-a3c3-b23f29b6c25c	GET	undefined	/refresh
20250327	04:08:06	49c8b5a9-be70-4cb2-a392-50d0b5c11f7c	POST	undefined	/auth
20250328	04:52:15	e5036406-d497-497f-84d3-e4f3c06fcdf9	POST	undefined	/auth
20250328	04:52:44	6a64c2cd-8fac-49cb-86d8-69b08f3abb1e	POST	undefined	/auth
20250328	04:54:45	c2300f8b-f0f4-42ba-881e-d1aa07b64421	POST	undefined	/auth
20250328	04:55:00	ef33f3cb-8b31-45d0-a0f6-a3753c734c90	GET	undefined	/employees
20250328	04:55:49	49ea5bab-080f-465d-9481-b9faf4ff1bcb	POST	undefined	/register
20250328	04:56:47	00961064-0037-45b3-a3ce-a0385f23b134	POST	undefined	/auth
20250328	04:56:58	46ba83f5-6f03-4595-b9ac-b76b487867be	GET	undefined	/employees
20250328	05:02:21	8819005f-a928-4efb-8351-417bbfb9805b	POST	undefined	/auth
20250328	05:02:35	217bac5b-679c-4209-af47-113b0f523e84	GET	undefined	/employees
20250328	05:08:26	ed7b3d11-ce12-4891-bb5c-12f22032bf24	POST	undefined	/auth
20250328	05:08:36	3800ab20-fc93-40d1-ada8-9619734f8ebc	GET	undefined	/employees
20250328	05:08:47	d514072d-ce6a-4aa9-8703-3c6b1ab75b93	POST	undefined	/employees
20250328	05:08:52	f9cc1364-96df-4811-bde2-e92d101952ea	POST	undefined	/auth
20250328	05:09:03	7e2f4ec9-3ebc-46dd-b534-0f30e31abc80	POST	undefined	/employees
20250328	05:09:53	03c95f4a-2448-404c-8959-40227e6f486b	POST	undefined	/auth
20250328	05:10:06	658f7994-00f2-4084-8c9e-67a3d9691e6d	POST	undefined	/employees
20250328	05:14:02	ab2d63c5-e993-4456-8285-e23d624ad0b8	POST	undefined	/auth
20250328	05:14:14	95b21980-0ce7-49b5-910a-caaa86ccfec3	DELETE	undefined	/employees
20250328	05:15:03	320b5794-79cf-4722-a7fb-bc0b7fe21e7c	POST	undefined	/auth
